"Country";"Frequency Range";"Allocations";"Applications"
"AT";"1589.000 - 1590.000 MHz";"BeiDou B1-B2";"#E0E6B0"
"AT";"1593.000 - 1610.000 MHz";"GLONASS G1";"#FF1493"
"AT";"1610.000 - 1660.500 MHz";"MSS/downlink";"#B0E0E6"
"AT";"1670.000 - 1675.000 MHz";"MSS/downlink";"#B0E0E6"
"AT";"1690.000 - 1708.000 MHz";"Meteor - NOAA/HRPT downlink";"#B0E0E6"
"AT";"1710.000 - 1730.000 MHz";"1800/Magenta/uplink";"#E70073"
"AT";"1730.000 - 1750.000 MHz";"1800/H3G/uplink";"#686868"
"AT";"1750.000 - 1785.000 MHz";"1800/A1/uplink";"#529200"
"AT";"1785.000 - 1805.000 MHz";"Mics";"#8FBC8F"
"AT";"1805.000 - 1825.000 MHz";"1800/Magenta/downlink";"#E70073"
"AT";"1825.000 - 1845.000 MHz";"1800/H3G/downlink";"#686868"
"AT";"1845.000 - 1880.000 MHz";"1800/A1/downlink";"#529200"
"AT";"1880.000 - 1900.000 MHz";"DECT";"#556B2F"
"AT";"1920.000 - 1945.000 MHz";"2100/A1/uplink";"#529200"
"AT";"1945.000 - 1960.000 MHz";"2100/Magenta/uplink";"#E70073"
"AT";"1960.000 - 1980.000 MHz";"2100/H3G/uplink";"#686868"
"AT";"1980.000 - 2010.000 MHz";"MSS/uplink";"#B0E0E6"
"AT";"2010.000 - 2025.000 MHz";"TV cam";"#B0E0E6"
"AT";"2080.000 - 2110.000 MHz";"TV retrans/uplink";"#B0E0E6"
"AT";"2110.000 - 2135.000 MHz";"2100/A1/downlink";"#529200"
"AT";"2135.000 - 2150.000 MHz";"2100/Magenta/downlink";"#E70073"
"AT";"2150.000 - 2170.000 MHz";"2100/H3G/downlink";"#686868"
"AT";"2170.000 - 2200.000 MHz";"MSS/uplink";"#B0E0E6"
"AT";"2200.000 - 2300.000 MHz";"TV retrans/downlink";"#B0E0E6"
"AT";"2300.000 - 2400.000 MHz";"TV cam";"#B0E0E6"
"AT";"2409.000 - 2415.000 MHz";"WLAN/CH 1";"#DC143C"
"AT";"2414.000 - 2420.000 MHz";"WLAN/CH 2";"#DC143C"
"AT";"2419.000 - 2425.000 MHz";"WLAN/CH 3";"#DC143C"
"AT";"2424.000 - 2430.000 MHz";"WLAN/CH 4";"#DC143C"
"AT";"2429.000 - 2435.000 MHz";"WLAN/CH 5";"#DC143C"
"AT";"2434.000 - 2440.000 MHz";"WLAN/CH 6";"#DC143C"
"AT";"2439.000 - 2445.000 MHz";"WLAN/CH 7";"#DC143C"
"AT";"2444.000 - 2450.000 MHz";"WLAN/CH 8";"#DC143C"
"AT";"2449.000 - 2455.000 MHz";"WLAN/CH 9";"#DC143C"
"AT";"2454.000 - 2460.000 MHz";"WLAN/CH 10";"#DC143C"
"AT";"2459.000 - 2465.000 MHz";"WLAN/CH 11";"#DC143C"
"AT";"2464.000 - 2470.000 MHz";"WLAN/CH 12";"#DC143C"
"AT";"2469.000 - 2475.000 MHz";"WLAN/CH 13";"#DC143C"
"AT";"2483.500 - 2500.000 MHz";"TV cam";"#B0E0E6"
"AT";"2500.000 - 2520.000 MHz";"2600/A1/uplink";"#529200"
"AT";"2520.000 - 2540.000 MHz";"2600/Magenta/uplink";"#E70073"
"AT";"2540.000 - 2545.000 MHz";"2600/A1/uplink";"#529200"
"AT";"2545.000 - 2570.000 MHz";"2600/H3G/uplink";"#686868"
"AT";"2570.000 - 2595.000 MHz";"2600/H3G/TDD";"#686868"
"AT";"2595.000 - 2620.000 MHz";"2600/A1/TDD";"#529200"
"AT";"2620.000 - 2640.000 MHz";"2600/A1/downlink";"#529200"
"AT";"2640.000 - 2660.000 MHz";"2600/Magenta/downlink";"#E70073"
"AT";"2660.000 - 2665.000 MHz";"2600/A1/downlink";"#529200"
"AT";"2665.000 - 2690.000 MHz";"2600/H3G/downlink";"#686868"
"AT";"2700.000 - 2900.000 MHz";"Civil + military radar";"#FF0000"
"AT";"3410.000 - 3440.000 MHz";"3500/Spusu/TDD";"#95D600"
"AT";"3440.000 - 3590.000 MHz";"3500/A1/TDD";"#529200"
"AT";"3590.000 - 3690.000 MHz";"3700/H3G/TDD";"#686868"
"AT";"3690.000 - 3800.000 MHz";"3700/Magenta/TDD";"#E70073"
"AT";"3800.000 - 4200.000 MHz";"FSS/uplink";"#B0E0E6"
"AT";"5155.000 - 5165.000 MHz";"WLAN/CH 32";"#DC143C"
"AT";"5165.000 - 5175.000 MHz";"WLAN/CH 34";"#DC143C"
"AT";"5175.000 - 5185.000 MHz";"WLAN/CH 36";"#DC143C"
"AT";"5185.000 - 5195.000 MHz";"WLAN/CH 38";"#DC143C"
"AT";"5195.000 - 5205.000 MHz";"WLAN/CH 40";"#DC143C"
"AT";"5205.000 - 5215.000 MHz";"WLAN/CH 42";"#DC143C"
"AT";"5215.000 - 5225.000 MHz";"WLAN/CH 44";"#DC143C"
"AT";"5225.000 - 5235.000 MHz";"WLAN/CH 46";"#DC143C"
"AT";"5235.000 - 5245.000 MHz";"WLAN/CH 48";"#DC143C"
"AT";"5245.000 - 5255.000 MHz";"WLAN/CH 50";"#DC143C"
"AT";"5255.000 - 5265.000 MHz";"WLAN/CH 52";"#DC143C"
"AT";"5265.000 - 5275.000 MHz";"WLAN/CH 54";"#DC143C"
"AT";"5275.000 - 5285.000 MHz";"WLAN/CH 56";"#DC143C"
"AT";"5285.000 - 5295.000 MHz";"WLAN/CH 58";"#DC143C"
"AT";"5295.000 - 5305.000 MHz";"WLAN/CH 60";"#DC143C"
"AT";"5305.000 - 5315.000 MHz";"WLAN/CH 62";"#DC143C"
"AT";"5315.000 - 5325.000 MHz";"WLAN/CH 64";"#DC143C"
"AT";"5325.000 - 5335.000 MHz";"WLAN/CH 66";"#DC143C"
"AT";"5335.000 - 5345.000 MHz";"WLAN/CH 68";"#DC143C"
"AT";"5350.000 - 5470.000 MHz";"Meteo radar";"#B0E0E6"
"AT";"5475.000 - 5485.000 MHz";"WLAN/CH 96";"#DC143C"
"AT";"5495.000 - 5505.000 MHz";"WLAN/CH 100";"#DC143C"
"AT";"5505.000 - 5515.000 MHz";"WLAN/CH 102";"#DC143C"
"AT";"5515.000 - 5525.000 MHz";"WLAN/CH 104";"#DC143C"
"AT";"5525.000 - 5535.000 MHz";"WLAN/CH 106";"#DC143C"
"AT";"5535.000 - 5545.000 MHz";"WLAN/CH 108";"#DC143C"
"AT";"5545.000 - 5555.000 MHz";"WLAN/CH 110";"#DC143C"
"AT";"5555.000 - 5565.000 MHz";"WLAN/CH 112";"#DC143C"
"AT";"5565.000 - 5575.000 MHz";"WLAN/CH 114";"#DC143C"
"AT";"5575.000 - 5585.000 MHz";"WLAN/CH 116";"#DC143C"
"AT";"5585.000 - 5595.000 MHz";"WLAN/CH 118";"#DC143C"
"AT";"5595.000 - 5605.000 MHz";"WLAN/CH 120";"#DC143C"
"AT";"5605.000 - 5615.000 MHz";"WLAN/CH 122";"#DC143C"
"AT";"5615.000 - 5625.000 MHz";"WLAN/CH 124";"#DC143C"
"AT";"5625.000 - 5635.000 MHz";"WLAN/CH 126";"#DC143C"
"AT";"5635.000 - 5645.000 MHz";"WLAN/CH 128";"#DC143C"
"AT";"5645.000 - 5655.000 MHz";"WLAN/CH 130";"#DC143C"
"AT";"5655.000 - 5665.000 MHz";"WLAN/CH 132";"#DC143C"
"AT";"5665.000 - 5675.000 MHz";"WLAN/CH 134";"#DC143C"
"AT";"5675.000 - 5685.000 MHz";"WLAN/CH 136";"#DC143C"
"AT";"5685.000 - 5695.000 MHz";"WLAN/CH 138";"#DC143C"
"AT";"5695.000 - 5705.000 MHz";"WLAN/CH 140";"#DC143C"
"AT";"5705.000 - 5715.000 MHz";"WLAN/CH 142";"#DC143C"
"AT";"5715.000 - 5725.000 MHz";"WLAN/CH 144";"#DC143C"
"AT";"5740.000 - 5750.000 MHz";"WLAN/CH 149";"#DC143C"
"AT";"5750.000 - 5760.000 MHz";"WLAN/CH 151";"#DC143C"
"AT";"5760.000 - 5770.000 MHz";"WLAN/CH 153";"#DC143C"
"AT";"5770.000 - 5780.000 MHz";"WLAN/CH 155";"#DC143C"
"AT";"5780.000 - 5790.000 MHz";"WLAN/CH 157";"#DC143C"
"AT";"5790.000 - 5800.000 MHz";"WLAN/CH 159";"#DC143C"
"AT";"5800.000 - 5810.000 MHz";"WLAN/CH 161";"#DC143C"
"AT";"5820.000 - 5830.000 MHz";"WLAN/CH 165";"#DC143C"
"AT";"5840.000 - 5850.000 MHz";"WLAN/CH 169";"#DC143C"
"AT";"5860.000 - 5870.000 MHz";"WLAN/CH 173";"#DC143C"
"AT";"10700.000 - 12700.000 MHz";"SAT TV";"#B4B200"
"AT";"25500.000 - 25900.000 MHz";"26000/A1/TDD";"#529200"
"AT";"26500.000 - 27100.000 MHz";"26000/H3G/TDD";"#686868"
"AT";"27100.000 - 27500.000 MHz";"26000/Magenta/TDD";"#E70073"
