"Country";"Frequency Range";"Allocations";"Applications"
"SK";"811.000 - 821.000 MHz";"800/Vodafone/downlink";"#ff0000"
"SK";"823.000 - 832.000 MHz";"Mikrofóny";"#8FBC8F"
"SK";"832.000 - 842.000 MHz";"800/WindTre/uplink";"#ff6200"
"SK";"842.000 - 852.000 MHz";"800/TIM/uplink";"#004d94"
"SK";"852.000 - 862.000 MHz";"800/Vodafone/uplink";"#ff0000"
"SK";"863.000 - 870.000 MHz";"ISM868";"#DC143C"
"SK";"880.100 - 885.150 MHz";"900/Iliad/uplink";"#9c0000"
"SK";"885.150 - 895.200 MHz";"900/TIM/uplink";"#004d94"
"SK";"895.200 - 905.100 MHz";"900/Vodafone/uplink";"#ff0000"
"SK";"905.100 - 914.800 MHz";"900/WindTre/uplink";"#ff6200"
"SK";"925.100 - 930.150 MHz";"900/Iliad/downlink";"#9c0000"
"SK";"930.150 - 940.200 MHz";"900/TIM/downlink";"#004d94"
"SK";"940.200 - 950.100 MHz";"900/Vodafone/downlink";"#ff0000"
"SK";"950.100 - 959.800 MHz";"900/WindTre/downlink";"#ff6200"
"SK";"1029.000 - 1031.000 MHz";"IFF/Letecká/komunikácia";"#FF0000"
"SK";"1089.000 - 1091.000 MHz";"IFF/Letecká/komunikácia";"#FF0000"
"SK";"1164.000 - 1190.300 MHz";"GPS L5/GALILEO E5";"#7CFC00"
"SK";"1190.300 - 1213.800 MHz";"GLONASS G3/GALILEO E5";"#FF1493"
"SK";"1215.000 - 1238.000 MHz";"GPS L2";"#00BFFF"
"SK";"1238.000 - 1253.800 MHz";"GLONASS G2";"#FF1493"
"SK";"1260.000 - 1300.000 MHz";"GALILEO E6";"#7CFC00"
"SK";"1400.000 - 1427.000 MHz";"Družicové/senzory";"#B0E0E6"
"SK";"1452.000 - 1472.000 MHz";"1500/TIM/SDL";"#004d94"
"SK";"1472.000 - 1492.000 MHz";"1500/Vodafone/SDL";"#ff0000"
"SK";"1518.000 - 1525.000 MHz";"Meteo MSS/uplink";"#B0E0E6"
"SK";"1525.000 - 1559.000 MHz";"INMARSAT/MSS";"#B0E0E6"
"SK";"1559.420 - 1591.420 MHz";"GPS L1/GALILEO E1";"#7CFC00"
"SK";"1593.000 - 1610.500 MHz";"GLONASS G1";"#FF1493"
"SK";"1610.000 - 1660.500 MHz";"MSS/downlink";"#B0E0E6"
"SK";"1670.000 - 1675.000 MHz";"MSS/downlink";"#B0E0E6"
"SK";"1715.000 - 1735.000 MHz";"1800/TIM/uplink";"#004d94"
"SK";"1735.000 - 1745.000 MHz";"1800/Iliad/uplink";"#9c0000"
"SK";"1745.100 - 1765.000 MHz";"1800/WindTre/uplink";"#ff6200"
"SK";"1765.000 - 1785.000 MHz";"1800/Vodafone/uplink";"#ff0000"
"SK";"1785.000 - 1805.000 MHz";"Mikrofóny";"#8FBC8F"
"SK";"1810.000 - 1830.000 MHz";"1800/TIM/downlink";"#004d94"
"SK";"1830.000 - 1840.000 MHz";"1800/Iliad/downlink";"#9c0000"
